Player,Year,Weight,Height (No Shoes)
Tyler Ulis,2016,149,68.75
Russ Smith,2014,160,71.5
Eric Maynor,2009,164,74.25
Marcus Paige,2016,164,72.5
Dennis Schroeder,2013,165,73
Darren Collison,2009,166,72.25
Kobi Simmons,2017,166,75.25
Keifer Sykes,2015,167,70.5
Ryan Boatright,2015,170,70
De'Aaron Fox,2017,170,74
Shane Larkin,2013,171,70.25
Cat Barber,2016,173,73.5
Norris Cole,2011,174,72.25
Will Barton,2012,174,77
Jeff Teague,2009,175,72.25
Patrick Mills,2009,175,71.25
Shabazz Napier,2014,175,71
Monte Morris,2017,175,73.25
Pierre Jackson,2013,176,69.5
Edmond Sumner,2017,176,76
Brandon Knight,2011,177,73.5
Tyshawn Taylor,2012,177,74.75
Phil Pressey,2013,177,69.5
Marcus Thornton,2015,177,73.75
Kay Felder,2016,177,68.25
Erick Green,2013,178,73.5
Jeremy Lamb,2012,179,76
B.J. Young,2013,179,74.25
Seth Curry,2013,179,73
Jordan McRae,2014,179,75.75
Chasson Randle,2015,179,72.75
Quinn Cook,2015,179,72.25
Avery Bradley,2010,180,74
Jon Scheyer,2010,180,76.75
Marquis Teague,2012,180,73
Myck Kabongo,2013,180,73.25
Jahii Carson,2014,180,69.75
Stephen Curry,2009,181,74
Peyton Siva,2013,181,71.5
Zach LaVine,2014,181,76.5
Delon Wright,2015,181,76.25
Tyler Harvey,2015,181,74.75
Patrick McCaw,2016,181,77.25
Rodrigue Beaubois,2009,182,73.25
Tyler Ennis,2014,182,73
Joseph Young,2015,182,72.75
A.J. English,2016,182,74
Malik Newman,2016,182,74.25
Chris Boucher,2017,182,80
Toney Douglas,2009,183,73
Kendall Williams,2014,183,74.25
Cameron Payne,2015,183,72.75
Tyler Dorsey,2017,183,75
Kemba Walker,2011,184,71.5
Michael Carter-Williams,2013,184,76.75
Markel Brown,2014,184,74.5
Gary Payton II,2016,184,74
Terrance Ferguson,2017,184,77.5
Jack McClinton,2009,185,71.75
Manny Harris,2010,185,76
Elfrid Payton,2014,185,74.5
Tyus Jones,2015,185,72.25
R.J. Hunter,2015,185,76.5
Jawun Evans,2017,185,70.75
Andrew Jones,2017,185,75
Cory Joseph,2011,186,74
Isaiah Thomas,2011,186,68.75
Jordan Clarkson,2014,186,75.25
Semaj Christon,2014,186,73.5
Olivier Hanlan,2015,186,75.25
Tyler Honeycutt,2011,187,78.75
Tu Holloway,2012,187,70.5
Trey Burke,2013,187,71.75
Xavier Thames,2014,187,74.25
Nolan Smith,2011,188,73.5
LaceDarius Dunn,2011,188,75
Jared Cunningham,2012,188,75.5
Marcus Denmon,2012,188,74.25
Isaiah Canaan,2013,188,71
T.J. McConnell,2015,188,72.5
Damian Lillard,2012,189,73.75
Archie Goodwin,2013,189,75.75
Lorenzo Brown,2013,189,76
Ben McLemore,2013,189,75.5
Frank Mason,2017,189,71
Derrick Walton,2017,189,71
Jerel McNeal,2009,190,73.5
Darius Morris,2011,190,75.25
Terry Rozier,2015,190,72.75
Malik Beasley,2016,190,75.5
Derrick White,2017,190,75.25
Nigel Williams-Goss,2017,190,73.5
Devin Robinson,2017,190,79
E'Twaun Moore,2011,191,74.5
Ray McCallum,2013,191,72.25
Jamaal Franklin,2013,191,76
Caris LeVert,2016,191,77.75
Austin Daye,2009,192,81.75
Eric Bledsoe,2010,192,72.25
Andy Rautins,2010,192,76.25
Kim English,2012,192,76.5
Devyn Marble,2014,192,77
Aaron Craft,2014,192,72.75
Corey Hawkins,2015,192,72.75
Melo Trimble,2016,192,73.25
Kadeem Allen,2017,192,73
A.J. Price,2009,193,72.5
Alec Burks,2011,193,77
Jordan Taylor,2012,193,73
Deonte Burton,2014,193,72
D'Angelo Russell,2015,193,75.25
Justin Jackson,2016,193,79
Wesley Iwundu,2017,193,77.5
V.J. Beachem,2017,193,78.25
Marcus Thornton,2009,194,74.75
Kevin Murphy,2012,194,77
Demetrius Jackson,2016,194,72
Isaiah Cousins,2016,194,75.25
Armon Johnson,2010,195,74
Marshon Brooks,2011,195,76.25
Josh Selby,2011,195,73.75
Jonny Flynn,2009,196,71.25
John Wall,2010,196,74.75
Jimmer Fredette,2011,196,72.75
Nate Wolters,2013,196,75.5
K.J. McDaniels,2014,196,76.5
DeAndre Daniels,2014,196,79.25
Dante Exum,2014,196,76.5
J.P. Tokoto,2015,196,77.25
Luke Kennard,2017,196,76.5
Ty Lawson,2009,197,71.25
Greivis Vasquez,2009,197,76.75
Jon Diebler,2011,197,77.25
Terrence Ross,2012,197,78
C.J. McCollum,2013,197,74.25
Allen Crabbe,2013,197,77.25
Ricky Ledo,2013,197,76.75
Vander Blue,2013,197,75.5
George De Paula,2015,197,76.5
Daniel Hamilton,2016,197,78.25
Hamidou Diallo,2017,197,75.75
Jordan Crawford,2010,198,75
Malcolm Lee,2011,198,76
Andrew Goudelock,2011,198,73.25
Kendall Marshall,2012,198,75.25
Tony Snell,2013,198,78
Otto Porter,2013,198,79.5
Nick Johnson,2014,198,73.5
Jerian Grant,2015,198,75.25
Sheldon McClellan,2016,198,77
Jrue Holiday,2009,199,75.25
Doron Lamb,2012,199,75.25
Tim Hardaway Jr,2013,199,76.5
Rashad Vaughn,2015,199,75.75
Chris McCullough,2015,199,80.25
Michael Frazier,2015,199,75.75
Reggie Bullock,2013,200,77.75
DeAndre Kane,2014,200,74.75
Malachi Richardson,2016,200,76.75
Tomas Satoransky,2012,201,78.5
James Ennis,2013,201,77.75
Brandon Paul,2013,201,74.75
C.J. Wilcox,2014,201,75.5
Michael Qualls,2015,201,76
P.J. Dozier,2017,201,77.25
Wayne Ellington,2009,202,76.25
DeAndre Liggins,2011,202,77
Bradley Beal,2012,202,75.25
J'Covan Brown,2012,202,73
Jabari Brown,2014,202,75
Wade Baldwin,2016,202,74.5
Frank Jackson,2017,202,74
Peter Jok,2017,202,76.25
Terrico White,2010,203,75.75
Austin Rivers,2012,203,75.5
Tony Wroten,2012,203,76.75
Carrick Felix,2013,203,76.75
Kelly Oubre,2015,203,77.75
Darington Hobson,2010,204,77.25
Demetri McCamey,2011,204,73.75
Kentavious Caldwell-Pope,2013,204,76.5
Josh Hart,2016,204,76
Travis Leslie,2011,205,75
Scotty Hopson,2011,205,77.75
Gary Harris,2014,205,74.5
Spencer Dinwiddie,2014,205,76.5
Thanasis Antetokounmpo,2014,205,77.25
Michael Gbinije,2016,205,77.5
Damyean Dotson,2017,205,76.5
Chase Budinger,2009,206,78.25
Wesley Johnson,2010,206,78.25
Klay Thompson,2011,206,77.75
Hollis Thompson,2012,206,78.75
Scott Machado,2012,206,73
Andre Roberson,2013,206,78.25
Nerlens Noel,2013,206,82
Devin Booker,2015,206,76.5
Davon Reed,2017,206,76.5
DeMarre Carroll,2009,207,78.25
Jermaine Taylor,2009,207,75.5
Mikhail Torrance,2010,207,76
Jereme Richmond,2011,207,78
Moe Harkless,2012,207,79.25
Norvel Pelle,2013,207,81.5
Nik Stauskas,2014,207,77.25
DeAndre Bembry,2016,207,76.25
Jonathan Jeanne,2017,207,84.75
Danny Green,2009,208,77.25
James Anderson,2010,208,76.75
Devin Ebanks,2010,208,79
Willie Warren,2010,208,74.5
Rodney Hood,2014,208,79.25
Chris Walker,2015,208,80.75
Vince Hunter,2015,208,78.75
Joe Ingles,2009,209,79.75
Shelvin Mack,2011,209,73
C.J. Leslie,2013,209,79.5
Robert Covington,2013,209,78.25
Jordan Adams,2014,209,75.5
Cleanthony Early,2014,209,78
Khem Birch,2014,209,79.5
Aaron Harrison,2015,209,76.5
Dez Wells,2015,209,75
Terran Petteway,2015,209,76.75
Brice Johnson,2016,209,81
Jake Layman,2016,209,80
Xavier Henry,2010,210,77.25
Jarvis Varnado,2010,210,80.25
Sylven Landesberg,2010,210,76.75
Will Clyburn,2013,210,77.75
Denzel Valentine,2016,210,76
Isaiah Whitehead,2016,210,75.25
Elgin Cook,2016,210,77
Omri Casspi,2009,211,79.75
Jodie Meeks,2009,211,75
Demar DeRozan,2009,211,77.5
Dionte Christmas,2009,211,76.25
Gordon Hayward,2010,211,78.75
Glen Rice,2013,211,76.5
Glenn Robinson,2014,211,77.5
Rondae Hollis-Jefferson,2015,211,77.5
Anthony Brown,2015,211,77.25
Marcus Lee,2016,211,81
Donovan Mitchell,2017,211,73.25
Tyler Smith,2009,212,77.25
John Jenkins,2012,212,75.25
Darius Johnson-Odom,2012,212,73.5
Buddy Hield,2016,212,75.75
Ron Baker,2016,212,75.25
Sindarius Thornwell,2017,212,75.5
Terrence Williams,2009,213,77
Stanley Robinson,2010,213,78.5
Jeff Taylor,2012,213,78
Victor Oladipo,2013,213,75.25
James Young,2014,213,77.25
Andrew Harrison,2015,213,76.5
Dorian Finney-Smith,2016,213,78.5
Jamel Artis,2017,213,77.5
Taj Gibson,2009,214,80.5
Paul George,2010,214,79.75
Evan Turner,2010,214,77.75
Jerami Grant,2014,214,78.5
Jaron Blossomgame,2016,214,78.25
Jarrod Uthoff,2016,214,80.5
Gerald Henderson,2009,215,76
Kris Joseph,2012,215,78
William Buford,2012,215,76
Joe Harris,2014,215,76.75
Pat Connaughton,2015,215,76
Norman Powell,2015,215,75
Tyler Lydon,2017,215,80.25
Dominique Jones,2010,216,75.25
Al-Farouq Aminu,2010,216,79.25
Charles Jenkins,2011,216,73.5
David Lighty,2011,216,76.75
John Henson,2012,216,81
Khris Middleton,2012,216,78.75
Tony Mitchell (Alabama),2012,216,77.25
Christian Wood,2015,216,81.25
Thon Maker,2016,216,83.75
Skal Labissiere,2016,216,82.5
Sherron Collins,2010,217,70.25
Keith Benson,2011,217,82
JaMychal Green,2012,217,80
Luke Babbitt,2010,218,79.5
Robbie Hummel,2012,218,79.25
Doug McDermott,2014,218,78.25
Cory Jefferson,2014,218,79.75
C.J. Fair,2014,218,78.5
Zhou Qi,2016,218,85.25
Perry Ellis,2016,218,79
Troy Williams,2016,218,77.75
Quincy Miller,2012,219,80.75
Melvin Ejim,2014,219,77.25
Sean Kilpatrick,2014,219,74.5
Sam Dekker,2015,219,79.75
Treveon Graham,2015,219,76.75
Cheick Diallo,2016,219,79.5
Justin Jackson (Canada),2017,219,77.75
JaJuan Johnson (Purdue),2011,220,81
Deshaun Thomas,2013,220,77
T.J. Warren,2014,220,79
Aaron Gordon,2014,220,79.5
Isaiah Austin,2014,220,83.5
Aaron White,2015,220,79.75
Taurean Prince,2016,220,78.5
Isaiah Miles,2016,220,78.75
Ivan Rabb,2017,220,80.75
Dillon Brooks,2017,220,77
Sviatoslav Mykhailiuk,2017,220,78.5
Tyreke Evans,2009,221,76
Chandler Parsons,2011,221,80.75
Dion Waiters,2012,221,74.5
James Southerland,2013,221,79
James Harden,2009,222,76
Larry Sanders,2010,222,81.25
Iman Shumpert,2011,222,76.25
Jimmy Butler,2011,222,78
Anthony Davis,2012,222,81.25
Shabazz Muhammad,2013,222,76.75
Jeff Withey,2013,222,82.75
Justise Winslow,2015,222,76.5
Kevon Looney,2015,222,80
T.J. Leaf,2017,222,80.75
Dwayne Bacon,2017,222,76.75
Isaiah Briscoe,2017,222,73.25
Sam Young,2009,223,77.25
Tobias Harris,2011,223,78.5
Jon Leuer,2011,223,82
Malcolm Thomas,2011,223,79.5
Jaylen Brown,2016,223,77.25
Malcolm Brogdon,2016,223,75.75
Kyle Kuzma,2017,223,80
Rawle Alkins,2017,223,74.5
Damion James,2009,224,78.25
Orlando Johnson,2012,224,75.75
Quincy Acy,2012,224,78.5
Joel Bolomboy,2016,224,79.5
Jordan Bell,2017,224,79
Derrick Brown,2009,225,79.5
Kenneth Faried,2011,225,78
Dedric Lawson,2016,225,79
John Collins,2017,225,80.25
Lazar Hayward,2010,226,76.5
Solomon Hill,2013,226,77.5
Lamar Patterson,2014,226,76
Dante Cunningham,2009,227,79
Ed Davis,2010,227,81
Hassan Whiteside,2010,227,82.5
Lance Stephenson,2010,227,76.5
Kawhi Leonard,2011,227,78
Tristan Thompson,2011,227,79.5
Marcus Smart,2014,227,74
Larry Nance,2015,227,79.5
Pascal Siakam,2016,227,80.25
Earl Clark,2009,228,80.5
Jordan Hamilton,2011,228,78.75
Justin Harper,2011,228,80
Kyle Singler,2011,228,79.5
Harrison Barnes,2012,228,79
Ryan Kelly,2013,228,81.75
James McAdoo,2014,228,79.5
Brandon Ashley,2015,228,79.25
Gani Lawal,2009,229,79.75
Craig Brackins,2010,229,80.5
P.J. Hairston,2014,229,76.25
Ben Bentil,2016,229,79.25
Justin Patton,2017,229,82
Ryan Richards,2010,230,82.5
Marcus Morris,2011,230,79
Chris Singleton,2011,230,79.75
Bernard James,2012,230,80.75
Gorgui Dieng,2013,230,81.75
Cody Zeller,2013,230,82.75
Mike Muscala,2013,230,82.25
Kyle Anderson,2014,230,79.5
Branden Dawson,2015,230,77.5
Alec Brown,2014,231,84.25
Justin Anderson,2015,231,77.25
Frank Kaminsky,2015,231,83.75
Georges Niang,2016,231,78.75
Moritz Wagner,2017,231,82
Jordan Hill,2009,232,81.25
Charles Garcia,2010,232,80.25
Grant Jerrett,2013,232,80.75
Adonis Thomas,2013,232,76.75
Wayne Selden,2016,232,76.25
Zach Collins,2017,232,82.25
Harry Giles,2017,232,81.25
OG Anunoby,2017,232,78.25
Alec Peters,2017,232,79.25
Michael Kidd-Gilchrist,2012,233,77.75
Arnett Moultrie,2012,233,81.5
Darius Miller,2012,233,78
Marquese Chriss,2016,233,80.75
Eric Mika,2017,233,80.5
Isaiah Hicks,2017,233,79.25
Tyler Hansbrough,2009,234,80.25
Andrew Nicholson,2012,234,80.5
Perry Jones,2012,234,82.25
Kelly Olynyk,2013,234,82.75
Dwight Powell,2014,234,81.5
Stephen Zimmerman,2016,234,82.25
D.J. Wilson,2017,234,80.75
Jarrett Allen,2017,234,81
Jeff Adrien,2009,236,77.25
