Date,S&P 500 Open,S&P 500 High,S&P 500 Low,S&P 500 Close,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close
8/20/2021,14571.53,14722.16,14571.53,14714.66,4410.56,4444.35,4406.8,4441.67
8/19/2021,14423.16,14610.76,14423.16,14541.79,4382.44,4418.61,4367.73,4405.8
8/18/2021,14636.24,14697.25,14516.3,14525.91,4440.94,4454.32,4397.59,4400.27
8/17/2021,14670.56,14716.95,14550.88,14656.18,4462.12,4462.12,4417.83,4448.08
8/16/2021,14771.53,14794.68,14610.02,14793.76,4461.65,4480.26,4437.66,4479.71
8/13/2021,14825.07,14850.61,14797.22,14822.9,4464.84,4468.37,4460.82,4468
8/12/2021,14751.36,14824.31,14698.94,14816.26,4446.08,4461.77,4435.96,4460.83
8/11/2021,14834.38,14842.5,14692.41,14765.14,4442.18,4449.44,4436.42,4447.7
8/10/2021,14887.75,14894.61,14754.48,14788.09,4435.79,4445.21,4430.03,4436.75
8/9/2021,14855.76,14883.81,14802.69,14860.18,4437.77,4439.39,4424.74,4432.35
8/6/2021,14864.22,14890.18,14788.59,14835.76,4429.07,4440.82,4429.07,4436.52
8/5/2021,14794.08,14896.47,14776.03,14895.12,4408.86,4429.76,4408.86,4429.1
8/4/2021,14747.21,14812.38,14734.12,14780.53,4415.95,4416.17,4400.23,4402.66
8/3/2021,14714,14762.6,14584.09,14761.29,4392.74,4423.79,4373,4423.15
8/2/2021,14758.6,14770.41,14665.67,14681.07,4406.86,4422.18,4384.81,4387.16
7/30/2021,14615.85,14728.79,14615.85,14672.68,4395.12,4412.25,4389.65,4395.26
7/29/2021,14771.17,14833.74,14761.38,14778.26,4403.59,4429.97,4403.59,4419.15
7/28/2021,14715.66,14798.88,14645.63,14762.58,4402.95,4415.47,4387.01,4400.64
7/27/2021,14807.95,14811.08,14503.75,14660.58,4416.38,4416.38,4372.51,4401.46
7/26/2021,14821.03,14863.65,14790.49,14840.71,4409.58,4422.73,4405.45,4422.3
7/23/2021,14753.06,14846.06,14698.77,14836.99,4381.2,4415.18,4381.2,4411.79
7/22/2021,14652.72,14694.19,14617.87,14684.6,4361.27,4369.87,4350.06,4367.48
7/21/2021,14508.75,14633.15,14498.65,14631.95,4331.13,4359.7,4331.13,4358.69
7/20/2021,14330.46,14555.75,14271.23,14498.88,4265.11,4336.84,4262.05,4323.06
7/19/2021,14235.98,14313.59,14178.66,14274.98,4296.4,4296.4,4233.13,4258.49
7/16/2021,14597.51,14623.02,14413.32,14427.24,4367.43,4375.09,4322.53,4327.16
7/15/2021,14635.78,14650.38,14451.8,14543.13,4369.02,4369.02,4340.7,4360.03
7/14/2021,14780.9,14790.55,14632.95,14644.95,4380.11,4393.68,4362.36,4374.3
7/13/2021,14715.13,14803.68,14660.19,14677.65,4381.07,4392.37,4366.92,4369.21
7/12/2021,14743.86,14761.08,14672.63,14733.24,4372.41,4386.68,4364.03,4384.63
7/9/2021,14578.43,14710.2,14552.26,14701.92,4329.38,4371.6,4329.38,4369.55
7/8/2021,14409.2,14610.06,14371.59,14559.78,4321.07,4330.88,4289.37,4320.82
7/7/2021,14753.42,14755.33,14580.79,14665.06,4351.01,4361.88,4329.79,4358.13
7/6/2021,14661.55,14687,14529.8,14663.64,4356.46,4356.46,4314.37,4343.54
7/2/2021,14582.98,14649.11,14555.34,14639.33,4326.6,4355.43,4326.6,4352.34
7/1/2021,14493.69,14533.55,14439.4,14522.38,4300.73,4320.66,4300.73,4319.94
6/30/2021,14509.85,14526.81,14478.06,14503.95,4290.65,4302.43,4287.96,4297.5
6/29/2021,14509.19,14535.97,14471.38,14528.33,4293.21,4300.52,4287.04,4291.8
6/28/2021,14417.81,14505.19,14417.2,14500.51,4284.9,4292.14,4274.67,4290.61
6/25/2021,14400.81,14409.08,14337.65,14360.39,4274.45,4286.12,4271.16,4280.7
6/24/2021,14357.27,14414.46,14333.7,14369.71,4256.97,4271.28,4256.97,4266.49
6/23/2021,14263.38,14317.66,14246.3,14271.73,4249.27,4256.6,4241.43,4241.84
6/22/2021,14138.29,14269.77,14121,14253.27,4224.61,4255.84,4217.27,4246.44
6/21/2021,14047.42,14150.78,13960.04,14141.48,4173.4,4226.24,4173.4,4224.79
6/18/2021,14096.93,14129.22,14009.04,14030.38,4204.78,4204.78,4164.4,4166.45
6/17/2021,13999.13,14196.21,13998.93,14161.35,4220.37,4232.29,4196.05,4221.86
6/16/2021,14085.55,14129.69,13903.73,14039.68,4248.87,4251.89,4202.45,4223.7
6/15/2021,14166.64,14171.02,14052.16,14072.86,4255.28,4257.16,4238.35,4246.59
6/14/2021,14083.47,14175.45,14056.67,14174.14,4248.31,4255.59,4234.07,4255.15
6/11/2021,14030.85,14069.42,14006.59,14069.42,4242.9,4248.38,4232.25,4247.44
6/10/2021,13933.88,14031.19,13904.4,14020.33,4228.56,4249.74,4220.34,4239.18
6/9/2021,13980.23,14003.5,13906.45,13911.75,4232.99,4237.09,4218.74,4219.55
6/8/2021,13946.32,13981.72,13831.98,13924.91,4233.81,4236.74,4208.41,4227.26
6/7/2021,13802.82,13889.11,13784.89,13881.72,4229.34,4232.34,4215.66,4226.52
6/4/2021,13697.25,13826.82,13692.01,13814.49,4206.05,4233.45,4206.05,4229.89
6/3/2021,13655.75,13684.13,13548.93,13614.51,4191.43,4204.39,4167.93,4192.85
6/2/2021,13743.24,13775.9,13689.73,13756.33,4206.82,4217.37,4198.27,4208.12
6/1/2021,13829.06,13836.17,13678.77,13736.48,4216.52,4234.12,4197.59,4202.04
5/28/2021,13792.05,13820.87,13747.61,13748.74,4210.77,4218.36,4203.57,4204.11
5/27/2021,13742.59,13776.52,13701.63,13736.28,4201.94,4213.38,4197.78,4200.88
5/26/2021,13693.94,13750.16,13679.59,13738,4191.59,4202.61,4184.11,4195.99
5/25/2021,13721.54,13751.14,13631.8,13657.17,4205.94,4213.42,4182.52,4188.13
5/24/2021,13557.21,13708.85,13551.01,13661.17,4170.16,4209.52,4170.16,4197.05
5/21/2021,13616.19,13616.58,13463.27,13470.99,4168.61,4188.72,4151.72,4155.86
